Regione, 1tot, 1perc, 2tot, 2perc, 3tot, 3perc, 4tot, 4perc, 5tot, 5perc, 6tot, 6perc, 7tot, 7perc
EMILIA ROMAGNA, 0, 0.0, 11, 0.5263157894736842, 94, 4.497607655502392, 603, 28.851674641148325, 717, 34.30622009569378, 559, 26.74641148325359, 106, 5.07177033492823
SARDEGNA, 4, 0.33984706881903143, 6, 0.5097706032285472, 127, 10.790144435004247, 430, 36.53355989804588, 372, 31.605777400169924, 184, 15.632965165675445, 54, 4.587935429056924
FRIULI-VENEZIA G., 0, 0.0, 0, 0.0, 24, 3.7914691943127963, 125, 19.747235387045812, 240, 37.91469194312796, 176, 27.804107424960506, 68, 10.742496050552923
MOLISE, 0, 0.0, 0, 0.0, 12, 4.669260700389105, 26, 10.116731517509727, 106, 41.24513618677043, 96, 37.35408560311284, 17, 6.614785992217898
MARCHE, 0, 0.0, 10, 1.053740779768177, 46, 4.847207586933615, 231, 24.341412012644888, 258, 27.186512118018967, 318, 33.50895679662803, 86, 9.062170706006322
TOSCANA, 0, 0.0, 0, 0.0, 95, 4.724017901541521, 468, 23.27200397812034, 705, 35.05718547986076, 617, 30.681253107906514, 126, 6.26553953257086
CAMPANIA, 10, 0.2901915264074289, 30, 0.8705745792222868, 283, 8.212420197330237, 777, 22.547881601857227, 1197, 34.73592571096924, 895, 25.97214161346489, 254, 7.370864770748694
VENETO, 0, 0.0, 9, 0.3412969283276451, 125, 4.740235115661736, 745, 28.251801289343952, 888, 33.67463026166098, 790, 29.958285930982175, 80, 3.0337504740235115
LIGURIA, 0, 0.0, 0, 0.0, 25, 2.9904306220095696, 229, 27.392344497607656, 284, 33.97129186602871, 257, 30.741626794258373, 41, 4.904306220095694
LAZIO, 0, 0.0, 5, 0.19076688286913393, 97, 3.700877527661198, 638, 24.341854254101488, 944, 36.01678748569248, 749, 28.57687905379626, 188, 7.172834795879435
LOMBARDIA, 0, 0.0, 0, 0.0, 195, 4.0314244366342775, 1278, 26.421335538556956, 1731, 35.78664461443043, 1390, 28.736820343187926, 243, 5.023775067190408
UMBRIA, 1, 0.18018018018018017, 4, 0.7207207207207207, 10, 1.8018018018018018, 92, 16.576576576576578, 235, 42.34234234234234, 167, 30.09009009009009, 46, 8.288288288288289
CALABRIA, 0, 0.0, 13, 0.7348784624081401, 118, 6.670435274166196, 311, 17.58055398530243, 655, 37.02656868287168, 514, 29.055963821368003, 158, 8.93159977388355
SICILIA, 3, 0.09193993257738278, 22, 0.6742261722341404, 259, 7.93748084584738, 827, 25.344774747165186, 1122, 34.38553478394116, 861, 26.386760649708858, 169, 5.179282868525896
BASILICATA, 0, 0.0, 0, 0.0, 13, 2.6422764227642275, 114, 23.170731707317074, 210, 42.68292682926829, 137, 27.84552845528455, 18, 3.658536585365854
PUGLIA, 0, 0.0, 6, 0.2823529411764706, 155, 7.294117647058823, 477, 22.44705882352941, 748, 35.2, 542, 25.50588235294118, 197, 9.270588235294118
ABRUZZO, 0, 0.0, 0, 0.0, 16, 1.927710843373494, 268, 32.28915662650602, 284, 34.21686746987952, 219, 26.3855421686747, 43, 5.180722891566265
PIEMONTE, 1, 0.05030181086519115, 5, 0.2515090543259557, 55, 2.766599597585513, 486, 24.446680080482896, 786, 39.53722334004024, 533, 26.81086519114688, 122, 6.1368209255533195
