Codice_scuola, Perc_certificato_agibilita_abitabilita, Perc_certificato_collaudo_statico, Perc_certificato_omologazione_centrale_termi, Perc_certificato_prevenzione_incendi_cpi, Perc_nullaosta_provvisorio_prevenzione_incendi_nop, Perc_certificato_collaudo_impianto_spegnimento, Perc_documento_valutazione_rischio, Perc_piano_emergenza, Perc_Media
LEEE83604E, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
MOMM83601C, 100.0 ,100.0 ,66.66666666666667 ,0.0 ,0.0 ,0.0 ,33.333333333333336 ,33.333333333333336 ,41.666666666666664
PDRI02251Q, 0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
CTMM8AF01X, 0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
TVEE87301G, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
APTA00801A, 33.333333333333336 ,33.333333333333336 ,100.0 ,33.333333333333336 ,0.0 ,0.0 ,66.66666666666667 ,66.66666666666667 ,41.66666666666667
NAEE119001, 100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
RGEE82701P, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
TAMM85001E, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
BGRI023019, 0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
PCIS006006, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
PRIC80800E, 0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,87.5
PCEE005008, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,62.5
MIEE8CC02T, 0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,37.5
LCEE828039, 0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
CHEE806051, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
BGEE80701N, 100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
BSEE89603X, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,12.5
PVMM813029, 0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
PDRC01902V, 0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,37.5
TOEE80502N, 0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
CTIC823002, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
VREE84001X, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
TARI04151X, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
NARI114511, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
VBMM80802L, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,75.0
ENMM81501B, 0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,62.5
RIRA001019, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
LTMM839014, 0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,37.5
AGMM863014, 100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
TVPS04000Q, 50.0 ,50.0 ,0.0 ,25.0 ,0.0 ,0.0 ,75.0 ,50.0 ,31.25
VVEE817014, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
BGMM84401G, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
PAEE830083, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
ENRF00601C, 0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,25.0
CRTA00201A, 20.0 ,60.0 ,60.0 ,40.0 ,0.0 ,0.0 ,80.0 ,80.0 ,42.5
PZTL022011, 100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,87.5
CZMM839019, 50.0 ,100.0 ,50.0 ,50.0 ,50.0 ,50.0 ,0.0 ,50.0 ,50.0
SSEE85101X, 0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,62.5
CLRI006013, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,33.333333333333336 ,33.333333333333336 ,8.333333333333334
CSMM856028, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
NAEE8DA019, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,37.5
AGIS013006, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
PSTA01301D, 0.0 ,20.0 ,80.0 ,0.0 ,0.0 ,0.0 ,80.0 ,80.0 ,32.5
BAIC88500Q, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
MIMM8BP011, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
PAEE05700Q, 0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
CSMM81903A, 0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
RNEE80302C, 100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,75.0
AQEE00601C, 100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0
PVIC80300L, 100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
AQEE831014, 100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
NAPS11301E, 0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,75.0
SAIC872009, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
MTEE82703E, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,75.0
SPIC80400G, 100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
NAEE8DY036, 0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,75.0
NAEE141182, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
