Provincia,Valutazione,NumValutazione,NumTotale,PercValutazione
BL,1,0,17,0.0
BL,2,0,17,0.0
BL,3,0,17,0.0
BL,4,5,17,29.41176470588235
BL,5,5,17,29.41176470588235
BL,6,6,17,35.294117647058826
BL,7,1,17,5.882352941176471
MS,1,0,26,0.0
MS,2,0,26,0.0
MS,3,1,26,3.8461538461538463
MS,4,5,26,19.23076923076923
MS,5,11,26,42.30769230769231
MS,6,8,26,30.76923076923077
MS,7,1,26,3.8461538461538463
KR,1,0,28,0.0
KR,2,0,28,0.0
KR,3,1,28,3.5714285714285716
KR,4,8,28,28.571428571428573
KR,5,13,28,46.42857142857143
KR,6,5,28,17.857142857142858
KR,7,1,28,3.5714285714285716
TE,1,0,30,0.0
TE,2,0,30,0.0
TE,3,0,30,0.0
TE,4,8,30,26.666666666666668
TE,5,11,30,36.666666666666664
TE,6,10,30,33.333333333333336
TE,7,1,30,3.3333333333333335
PG,1,1,70,1.4285714285714286
PG,2,1,70,1.4285714285714286
PG,3,3,70,4.285714285714286
PG,4,11,70,15.714285714285714
PG,5,28,70,40.0
PG,6,22,70,31.428571428571427
PG,7,4,70,5.714285714285714
TO,1,0,37,0.0
TO,2,0,37,0.0
TO,3,1,37,2.7027027027027026
TO,4,13,37,35.13513513513514
TO,5,11,37,29.72972972972973
TO,6,11,37,29.72972972972973
TO,7,1,37,2.7027027027027026
TV,1,0,72,0.0
TV,2,0,72,0.0
TV,3,5,72,6.944444444444445
TV,4,21,72,29.166666666666668
TV,5,24,72,33.333333333333336
TV,6,20,72,27.77777777777778
TV,7,2,72,2.7777777777777777
PA,1,0,132,0.0
PA,2,4,132,3.0303030303030303
PA,3,11,132,8.333333333333334
PA,4,39,132,29.545454545454547
PA,5,44,132,33.333333333333336
PA,6,27,132,20.454545454545453
PA,7,7,132,5.303030303030303
RA,1,0,31,0.0
RA,2,1,31,3.225806451612903
RA,3,1,31,3.225806451612903
RA,4,7,31,22.580645161290324
