Provincia,Numdi7,NumTot
BL,1,17
MS,1,26
KR,1,28
TE,1,30
PG,4,70
TO,1,37
TV,2,72
PA,7,132
RA,0,31
SI,1,24
TR,1,23
IS,1,10
AL,2,5
NU,1,29
GO,0,1
CN,0,9
SV,2,26
AN,8,55
BR,5,42
BA,22,139
BS,7,95
EN,1,14
BT,8,40
PT,0,23
MT,2,23
RC,9,68
AQ,2,36
NA,29,352
FC,4,43
PI,0,27
BO,6,80
PN,0,10
VI,2,67
SS,2,58
PD,4,73
CR,1,29
LE,15,92
LO,2,21
CE,7,100
OR,2,19
CH,1,48
TS,1,8
FE,3,29
ME,3,70
SA,16,131
PU,2,41
AG,3,54
TA,6,67
LU,4,42
BG,2,101
RI,1,23
CS,8,104
LC,0,25
CZ,2,45
CT,11,131
GR,2,31
IM,0,15
PR,0,35
SO,0,22
VE,1,67
SR,3,51
SU,0,48
PZ,0,56
NO,0,6
AV,2,50
FG,4,83
MB,7,63
PE,1,30
SP,0,12
LT,5,59
MN,3,36
PV,1,33
CA,3,52
CO,3,46
BI,0,2
VT,1,31
MO,2,64
RM,26,346
FR,3,55
PO,0,19
LI,2,37
CB,2,29
FI,8,83
RO,1,19
MC,3,32
AP,0,21
VC,0,1
RE,3,43
AR,2,28
AT,0,3
TP,4,56
VB,0,3
CL,2,31
RN,2,26
RG,1,38
VA,2,73
FM,1,10
GE,3,53
VR,2,63
MI,18,243
BN,6,38
PC,0,25
VV,0,17
UD,1,12
