REGIONE, mediaperc
MARCHE, 53.903011942391984
TOSCANA, 50.40304406729975
ABRUZZO, 27.863955823303616
CAMPANIA, 35.61131696212611
SARDEGNA, 34.793310272277836
LAZIO, 32.55188120663688
CALABRIA, 29.87236916950284
UMBRIA, 42.78233590732072
LOMBARDIA, 53.36801726749014
VENETO, 49.58462920280623
LIGURIA, 42.690533151088516
PIEMONTE, 52.50555695352491
EMILIA ROMAGNA, 51.53179824559473
BASILICATA, 50.27820121953252
FRIULI-VENEZIA G., 48.954713006804106
SICILIA, 39.0826424482812
PUGLIA, 43.22824929970634
MOLISE, 43.46060311284047
